startdate._.Date started,socio4qde._.Please select the range of your salary,socio4qnl._.Please select the range of your salary,socio4quk._.Please select the range of your salary,socio4qus._.Please select the range of your salary,socio4qzaf._.Please select the range of your salary,socio4qnzl._.Please select the range of your salary,socio4qaus._.Please select the range of your salary
2018-09-13 11:14:19,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 11:15:05,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:15:35,,,,,,,
2018-09-13 11:18:29,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:21:38,,,"≥ £24,057 and < £32,277",,,,
2018-09-13 11:29:13,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:29:46,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:29:49,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 11:30:37,,,"≥ £58,172",,,,
2018-09-13 11:31:37,,,"≥ £24,057 and < £32,277",,,,
2018-09-13 11:33:06,,,,,,,
2018-09-13 11:33:51,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:40:58,,,"≥ £18,031 and < £24,057",,,,
2018-09-13 11:42:42,,,"≥ £24,057 and < £32,277",,,,
2018-09-13 11:42:43,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:47:01,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 11:49:20,,,,"From $90,000 to $109,999",,,
2018-09-13 11:53:01,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:57:23,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:58:31,,,,,,,
2018-09-13 12:01:41,,,,,,,
2018-09-13 12:02:52,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 12:03:19,,,,,,,
2018-09-13 12:08:36,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 12:18:28,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 12:19:10,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 12:20:43,,,,,,,
2018-09-13 12:22:36,,,,"From $70,000 to $89,999",,,
2018-09-13 12:23:49,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 12:24:43,Between 55.000 and 65.999 EUR,,,,,,
2018-09-13 12:25:55,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 12:27:26,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 12:32:48,,,"≥ £24,057 and < £32,277",,,,
2018-09-13 12:43:29,,,"≥ £58,172",,,,
2018-09-13 12:44:18,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 12:50:12,,,"≥ £24,057 and < £32,277",,,,
2018-09-13 12:55:14,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 13:00:36,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 13:01:20,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 13:03:02,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 13:04:17,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 13:10:45,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 13:11:40,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 13:34:13,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 13:49:28,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 14:00:50,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 14:06:41,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 14:14:32,,,,"From $110,000 to $129,999",,,
2018-09-13 14:21:07,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-13 14:23:31,,,,,,,
2018-09-13 14:25:52,,,,,,,
2018-09-13 14:26:31,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 14:34:20,,,"< £18,031",,,,
2018-09-13 14:35:48,,,,,,,
2018-09-13 14:39:16,,,,"From $70,000 to $89,999",,,
2018-09-13 14:46:08,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 15:04:24,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 15:42:55,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 15:54:24,,,,"More than $150,000",,,
2018-09-13 16:25:58,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 16:53:15,,,,,,,
2018-09-13 16:58:33,,,,"From $30,000 to $49,999",,,
2018-09-13 17:02:37,,,"≥ £58,172",,,,
2018-09-13 17:19:57,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 17:43:07,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 18:00:48,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 18:01:21,,,,,,,
2018-09-13 18:18:27,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 18:40:54,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 19:19:39,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 19:23:07,,,"≥ £24,057 and < £32,277",,,,
2018-09-13 19:33:28,,,"≥ £24,057 and < £32,277",,,,
2018-09-13 20:52:27,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 21:06:51,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 21:36:11,,,"≥ £58,172",,,,
2018-09-13 23:45:20,,,,"From $90,000 to $109,999",,,
2018-09-14 00:36:26,,,,,,,
2018-09-14 06:37:40,,,"< £18,031",,,,
